player,position,sleeper_projection
Patrick Mahomes,QB,18.83
Kenneth Walker,RB,18.17
Breece Hall,RB,16.24
Amon-Ra St. Brown,WR,20.47
CeeDee Lamb,WR,17.72
Kyle Pitts,TE,11.48
Rashee Rice,WR,13.82
Bucky Irving,RB,14.32
R.J. Harvey,RB,11.65
Matthew Golden,WR,10.35
Travis Hunter,WR,4.57
Matthew Lemon,WR,10.03
Parker Washington,WR,11.82
Khalil Shakir,WR,6.96
Zach Charbonnet,RB,3.80
Joe Burrow,QB,22.70
Omarion Hampton,RB,18.18
Javonte Williams,RB,17.40
Puka Nacua,WR,20.50
George Pickens,WR,16.65
Tyler Warren,TE,13.47
Travis Etienne,RB,13.84
Jack Bech,WR,12.46
Trevor Lawrence,QB,20.90
Jacory Croskey-Merritt,RB,10.09
TreVeyon Henderson,RB,8.32
Tre Tucker,WR,8.30
Xavier Worthy,WR,10.27
Quentin Johnston,WR,11.44
Jake Ferguson,TE,10.11
Josh Allen,QB,24.64
Jonathan Taylor,RB,21.84
Christian McCaffrey,RB,22.29
Drake London,WR,15.91
Ladd McConkey,WR,13.52
Tucker Kraft,TE,11.94
Michael Pittman,WR,11.14
Tony Pollard,RB,11.69
Brandon Aubrey,K,7.85
Denver Broncos,DEF,7.26
Kyler Murray,QB,19.09
Braelon Allen,RB,3.95
Jonathon Brooks,RB,8.29
Brian Thomas Jr.,WR,11.09
Denzel Boston,WR,6.98
D. Stribling,WR,7.11
Stefon Diggs,WR,11.84
Jalen Hurts,QB,22.81
Ashton Jeanty,RB,17.42
Cam Skattebo,RB,16.15
Jaxon Smith-Njigba,WR,20.35
Luther Burden,WR,13.18
Harold Fannin,TE,12.42
Jadarian Price,RB,10.90
Terry McLaurin,WR,14.02
Will Reichard,K,7.38
Pittsburgh Steelers,DEF,10.95
Brock Purdy,QB,20.97
Eric Gray,RB,0.00
Blake Corum,RB,10.90
Alvin Kamara,RB,5.57
Rome Odunze,WR,11.84
Chris Godwin,WR,11.37
Christian Watson,WR,14.05
Matthew Stafford,QB,19.24
James Cook,RB,19.65
Derrick Henry,RB,18.37
Tetairoa McMillan,WR,14.36
DeVonta Smith,WR,15.37
Trey McBride,TE,16.22
Jaylen Warren,RB,15.56
DJ Moore,WR,12.54
Cairo Santos,K,7.35
Baltimore Ravens,DEF,8.57
Kyle Monangai,RB,9.81
Brian Robinson,RB,5.65
Michael Wilson,WR,11.69
Carnell Tate,WR,12.31
Odell Beckham Jr.,WR,0.00
Romeo Doubs,WR,10.92
Dallas Goedert,TE,8.84
Drake Maye,QB,21.50
Bijan Robinson,RB,25.03
Josh Jacobs,RB,16.28
A.J. Brown,WR,17.35
Jaylen Waddle,WR,15.24
Sam LaPorta,TE,12.46
Chuba Hubbard,RB,13.81
Kenny Gainwell,RB,10.74
Jason Myers,K,7.89
Houston Texans,DEF,7.38
Daniel Jones,QB,18.82
Tyler Allgeier,RB,5.57
Rachaad White,RB,11.32
Marvin Harrison Jr.,WR,10.96
Omar Cooper,WR,8.14
Dalton Kincaid,TE,9.75
Caleb Williams,QB,23.53
De'Von Achane,RB,20.06
Kyren Williams,RB,16.13
Justin Jefferson,WR,17.30
Nico Collins,WR,17.09
Isaiah Likely,TE,9.98
David Montgomery,RB,15.66
Jameson Williams,WR,14.37
Chris Boswell,K,7.01
Minnesota Vikings,DEF,8.14
J.K. Dobbins,RB,9.43
Isiah Pacheco,RB,4.65
Jayden Reed,WR,14.17
Keenan Allen,WR,8.19
Jakobi Meyers,WR,9.67
Josh Downs,WR,13.00
Oronde Gadsden,TE,7.69
Justin Herbert,QB,21.06
Chase Brown,RB,19.27
Quinshon Judkins,RB,13.81
Ja'Marr Chase,WR,20.39
Tee Higgins,WR,16.80
Travis Kelce,TE,12.11
Chris Olave,WR,16.17
Bhayshul Tuten,RB,12.98
Chase McLaughlin,K,7.19
New England Patriots,DEF,7.86
Jaxson Dart,QB,22.06
Tyrone Tracy,RB,7.80
Jordan Mason,RB,10.75
KC Concepcion,WR,9.67
Jalen Nailor,WR,9.00
Jordan Addison,WR,11.65
Chig Okonkwo,TE,9.47
Jordyn Tyson,WR,0.00
George Kittle,TE,10.45
Jayden Daniels,QB,22.75
Jahmyr Gibbs,RB,25.35
D'Andre Swift,RB,14.82
Zay Flowers,WR,16.72
Davante Adams,WR,12.64
Brock Bowers,TE,16.64
Rico Dowdle,RB,13.66
Rhamondre Stevenson,RB,12.22
Ka'imi Fairbairn,K,7.70
Seattle Seahawks,DEF,10.44
Bo Nix,QB,20.85
Dak Prescott,QB,21.76
Chris Rodriguez,RB,9.56
Courtland Sutton,WR,10.92
Jauan Jennings,WR,9.73
Khalil Shakir,WR,11.77
Alec Pierce,WR,9.07
Lamar Jackson,QB,23.80
Saquon Barkley,RB,16.42
Jeremiyah Love,RB,17.99
Malik Nabers,WR,13.11
Garrett Wilson,WR,13.99
Colston Loveland,TE,15.64
Emeka Egbuka,WR,12.01
Mike Evans,WR,13.10
Cameron Dicker,K,8.31
Philadelphia Eagles,DEF,8.81
Jared Goff,QB,20.66
TreVeyon Henderson,RB,13.55
Aaron Jones,RB,9.60
DK Metcalf,WR,12.27
Deebo Samuel,WR,8.63
Wan'Dale Robinson,WR,10.35
Mark Andrews,TE,11.34
